切れる踏切と	断掉的平交道
 お前らが感じた 疎外感	你们所感受到的疏离感
 ラップに変えるのが 武雷管	把它变成rap的就是武雷管
 呼び覚ましな バイブスとエナジー	唤醒的共鸣和力量
 どれだけの時が流れても	无论时间如何流逝
 変わらないことが きっとあるだろう	有些事情始终不会改变
 バラバラのままで 辿り着こう	即使各行己路也要一起到达
 付いてきな オレらの後ろ	我们的后面后浪已经跟上来了
 自分で決めろ 正解不正解	自己去判断对与错
 歪んだ世界 余計なお節介	扭曲的世界多管闲事
 綺麗だけで 個性がない	只有漂亮的外表而没有个性的
 奴は本物の壁 越せやしない	那些人永远无法跨越本质的障壁
 龍が如く 唯我独尊	如蛟龙惟我独尊
 今目にしているのが伝説だ	现在你所见就是传奇
 オマエら全員 調子どうだ	你们大家感觉如何
 不気味で不滅 不死身の不死鳥	令人生畏的不灭之身的不死鸟
 ぶっちぎりぶっとい 武器でブラスト	愤怒地拿起巨型武器喷射
 ぶっ飛んだ言葉で ブームをブースト	口中爆出的言语掀起狂潮
 マイクよこせ 後世に残せ	把麦克拿来传留后世
 貫き通せ 己の個性	坚守自己的个性
 協調性とか クソウゼェ	协调性什么的都是shi
 どうせ 一回だぜ 人生	反正人生只有一次
 どれだけの時が流れても	无论时间如何流逝
 変わらないことが きっとあるだろう	有些事情始终不会改变
 バラバラのままで 辿り着こう	即使各行己路也要一起到达
 付いてきな オレらの後ろ	我们的后面后浪已经跟上来了
 浮かんでは消えてく蜃気楼	浮现又消失的海市蜃楼
 残す伝説 建てる金字塔	丰功的伟业如金字塔会载入史册
 バラバラから シンクロ	从乱七八糟到步调一致
 自分のこと腹から 信じろ	从心底相信你自己
 はみ出した奴が 待ち侘びた	被社会离弃的家伙们已经等不及了
 武雷管ショータイムの始まりだ	武雷管的演出就要开始了
 はみ出した奴が待ち侘びた	被社会离弃的家伙们已经等不及了
 このビートと交わりな	来吧跟上我们的节奏
 どれだけの時が流れても	无论时间如何流逝
 変わらないことが きっとあるだろう	有些事情始终不会改变
 バラバラのままで 辿り着こう	即使各行己路也要一起到达
 付いてきな オレらの後ろ	我们的后面后浪已经跟上来了
世紀末 今日より明日ヒヤッハー	从世纪末到明天爽
火口に落ちれば ガレットなぜ	掉进火山口里为什么
美しさに死す 慣れっこ	熟悉死于美丽
逃れられない サガsaga	无法逃里的佐贺佐贺县
駆け抜けな大地へ降り注ぐ	它倒在汹涌的大地上
この特别な夏の日差しを浴びて	在这个特殊的夏日阳光下
今 burn out突進 空の彼方まで	现在燃烧了向星空的彼岸前进
唐突な 監獄生活なぜ	突然的监狱生活为什么
スプーン片手に コツコツescape	用一直拿着勺子的手逃脱
チーズを投擲 no way	投掷奶酪no way
結局女神の 手の上	最终落在女神的手里上
また暑い風が吹き抜けてく	一股夏天特有的热风吹过
この特别な夏の日差しの中で	在这个特殊的夏日阳光下
そうさ break out 突き破れ 星の彼方まで	是啊break out向星空的彼岸前进
atm まだ物足りない きっと完成形ゴールは その先にあるはずさ	atm一定还不够的一定是完成的终点
駆け抜けな大地へ降り注ぐ	它倒在汹涌的大地上
この特别な夏の日差しを浴びて	在这个特殊的夏日阳光下
今 burn out 突き進め 空の彼方まで	现在燃烧了向星空的彼岸前进
また暑い風か吹き抜けてく	一股夏天特有的热风吹过
この特别な夏の日差しの中で	在这个特殊的夏日阳光下
そうさ break out 突き進め 突き破れ 星の彼方まで	这是正确的突破前进突破星星的彼岸
その翼をキミが広げたのなら	如果你展开翅膀
もう止まれない	已经停不下来
何処までも引き離していこうぜ	无论到哪里
今鼓動がひとつになったんなら	如果现在心跳成为一体
もう怯えない	再也不害怕
どんな時だって全力を出せるから	无论何时都会全力以赴
真っ赤に燃える	完全燃烧
笑顔忘れないで	不要忘记笑容
辛いことが何だってんだ	痛苦是什么
僕らが笑えば明日は晴れるさ	如果我们微笑 明天会更好
キミの腕を引いて	牵起你的手
目も瞑れない急展開	目不转睛地迅速展开
離さずついてきて	不要放开我 跟紧我
魂が震える	灵魂震颤
地を這う重低音	让在地上爬行的重低音
鳴り響かせてゆけ	响彻云霄
その牙でこの首筋噛み付いてきてごらん	来以那獠牙去咬下这颈背看看吧
君が決めたその境界線	你所定下的那界限
理性というmerry go round	名为理性的旋转木马
半端な想いは捨てて踏みにじってごらん	来试着把它舍弃掉然后狠狠践踏吧
衝動に任せたこの緊張感	去驯服 这份任凭冲动而去的紧张感呢
手なずけて さぁ no001	来吧 no1
全てを燃やせburning	让一切熊熊燃烧吧 burning
ここからall along the line yeah	从这里起 直到每一处吧
君よ向かえ 最上階	你来向着最上层而行吧
手に入れた始まり 深紅の物語	开始得到手中的 深红的故事
火花散らす鼓動 stand by now	火花四溅的心跳 作好准备吧
眼をそらしているdaylight	别开眼神不去看的日光
乾いた心こすり焦げ付かせてみてごらん	干渴的内心摩擦起来 就试着让它这样下去吧
赤く焼け付く感情 i think it turns you on	火红灼热的感情 我想这会令你兴奋的吧
君の知らない君が その血を濃くする	让你所不认识的那个你显露出来
全てを燃やせburning	让一切熊熊燃烧吧 burning
心思うままに yeah	随心所想 yeah
君だけの壮大なlive	只属于你的壮大的生命
その眼はもう欲張り	那眼神已显露出心中的贪婪
怖じ気づくなんてファニー	令人害怕起来什么的真有趣
火花散らす鼓動 stand by now	火花四溅的心跳 作好准备吧
抗って運命のslave	抵抗命运的奴隶啊
今解き放つ your flame	此刻让你的火焰解放吧
そう what a 勇敢	那就是所谓的勇敢
思い込んで you can	深信自己 能够做到吧
世界はlike a coster	世界就如大起大跌的过山车一般
暴れ回るmonster you are	你就是那横冲直撞的怪物
さぁ今すぐburning	来吧 现在马上 buring
唯一無二の本性隠し持った	偷偷拥有着独一无二的本性呢
君こそがそう no001	正因为是你才能做到啊 no1
激しく燃やせburning	猛烈地燃烧吧 burning
ここからall along the line yeah	从这里起 直到每一处吧
君よ向かえ 最上階	你来向着最上层而行吧
手に入れた始まり 深紅の物語	开始得到手中的 深红的故事
全てを燃やせburning	让一切熊熊燃烧吧 burning
太陽のようなburning	如太阳般 burning
妖艶に狂おしく燃ゆburning	妖艳地疯狂燃烧吧 burning
赤く鮮明なburining	染出一片鲜红的 burning
消えることない炎	永不熄灭的火焰
君の本能	那就是你的本能
果てしない空を往く 見えない翼が導く	翱翔在无尽的天空中 在无形的翅膀引导下
遥か彼方僕らを待つ まだ見ぬ未来へと	它在遥远的彼方等待我们 一起飞向未知的未来
always 醒めきってた 速すぎる day and night	总是一觉醒来 感觉日月如梭
透明な闇に囲まれ	被透明的黑暗所包围
誰も似た網わの中で it was the day i found	在意不如心的生活中
found you あの日の風 揺れ動いたpassion	每当吹起昨日邂逅之风 心中的感情也随着摇动
and all of my past 全てキミに会うためのprocessだったね	我所做的一切 一切都是为了与你早日相见的进程
彼方から聞こえる予感に 鼓動奮わせて居たいから	从彼方传来的预感 让心的鼓动不断加速
光の中 目覚めていく 信じてくれたキミとなら	光辉之下 逐渐苏醒 只要我们合力同心
never let it go never lose my way ここで生まれ変わる景色	永远不要放纵 永远不要迷失 这里不断变迁的景色中
傷さえいま誇りになる だからキミと burst the gravity	昨日的伤痕也能化作阵阵荣誉 与你一同冲破天际
weakness 強がること 慣れすぎていつか	因软弱而逞强 曾几何时已习惯
forget how to cry 心のpiece	忘记如何哭泣
欠けたままで過ごした afraid to be a brave	丢失了心的碎片苟且度日 害怕变得勇敢
キミがいま輝く but now i see	你现在无比闪耀 正如我所见
so beautiful sight 真っ直ぐに見上げた空 希望を繋いで	如此美妙的光景 抬头直视蓝天 希望也为此点亮
負けられないよもう誰にも 貫きたいものがあるから	我要战胜任何对手 因为已有自己坚守信念
交わした手を離さないで いつか飛び立つ日が来ても	绝不放弃曾经交握的手 即时某天会展翅高飞
運命に立ち向かうから	对抗命运也在所不惜
絆よりも強く深く 溶け合ってく burst the gravity	愿比羁绊更强烈更深刻 与你融为一体冲破天际
果てしない空を往く まだ見ぬ未来を目指して	翱翔在无尽的天空中 飞往未知的未来
覚えていて胸の痛み 重なるほど強く想う	回忆在心中的痛楚 重叠而生出对你强烈的思念
光の中 目覚めていく 信じてくれたキミとなら hey hey	只要我们合力同心 嘿嘿
ここで生まれ変わる景色 majestic light	这里不断变迁的景色中 雄伟的光景
傷さえいま誇りになる だからキミと二人	昨日的伤痕也能化作阵阵荣誉 因此我们二人
溶け合ってく burst the gravity	因为我们二人
止まない感情ｉｔｓ ｍｙ 愛情	止不住的感情its my爱情
はっきりさせちゃって曖昧感情	让我弄清楚了这暧昧感情
高なる感情の臨界点を	打开高涨的感情临界点
突っ切って 泣いちゃうほどに愛情	爱情直冲云霄
運命的展開 愛の空想	命运的展开 爱的空想
現実的限界まで愛チョーダイ	到达现实极限的爱情
ｃａｎｔ自制 感情対象の	cant自制 感情对象的
キミに会えば全て無効 変わる現金な ｉ	如果见到你的话一切都无效 变现的现金 i
ｍｉｄｎｉｇｈｔ過ぎ 通りがかる	midnight过去了 路过
アポなし流れ星に乗せた ｍｙ ｈｅａｒｔ	载上了没有约定的流星 my heart
止まない感情が そろそろ決壊	止不住的感情 差不多要壊了
もったいぶったって 意味ナイ言葉ｗｏｒｄ	装模作样地 不具意义的言语word
大胆にギュッで 体温上昇	大胆地 体温上升
どこまでいったって 愛に従属	不论在哪里 从属于爱
揺れる 曖昧感情に	摇曳着的 暧昧感情
キミと付ける名前ならば 決まってるのよ 	如果是叫你的名字的话 已经决定了哟
わたし一人 モヤリ	我自己一人
たまったままの愛情じゃ 不公平感	如果是积攒下来的爱情 不公平感
結局いつだって ｙｏｕ ｉ 問題	毕竟无论何时 you i问题
湧かない感情じゃ 意味ナイ妄想 ｎｏ	感情是涌不上来的 不具意义的妄想 no
確かめて 曖昧な感情を	确认一下 表达暧昧的感情
抱きあって輪郭 愛の正体	互相拥抱轮廓 爱的真面目
もったいぶったって 意味ナイ言葉ｗｏｒｄ	装模作样地 不具意义的言语word
はっきりさせちゃって 曖昧感情	让我弄清楚了 这暧昧感情
高なる感情の臨界点を	打开高涨的爱情临界点
突っ切って 泣いちゃうほどに愛情	爱情直冲云霄
運命的展開 愛の空想	命运的展开 爱的空想
現実的限界まで愛チョーダイ	爱到现实的极限
響くサイレン	拉响警报
目を覚ます生存本能カルマ	觉醒的生存本能
行き当たってパタっても 止まれやしない	哪怕碰壁哪怕无路可走 也绝不止步
ときに偶然は 運命装う	有时偶然会伪装成命运
善悪 交差するジオラマの街で	在这善恶交错的虚构城市中
迷宮じゃ悪夢も日常茶飯事	迷宫之中 噩梦也已司空见惯
普遍性などクソ食らえですね	普遍性什么的见鬼去吧
使い古された正攻法 人間以上 寝言以下	正攻法早已用烂 高于人类 劣于空谈
そんなに人生 上手く出来てませんので	毕竟这段人生 算不上多么成功
立ち向かえ drive me	奋勇而起 驱我向前
この手で切り拓く brave me	无路自开 促我勇敢
最強 御免あそばせ	最强如我 还请多多见谅
bursty greedy spider 風を切って跳べ	贪婪烈蛛 一跃如风
予測不能の big new wave	宛如无法预测的巨浪
まだまだ終われない	还将继续呼啸
今 最高速度で闇を駆けろ	就是现在 在黑暗中全力疾驰吧
一度しかない人生さ	这是仅此一次的人生
真っ直ぐに走り続けて	笔直地一路跑去
心に絡まった糸が解けたら	待解开了心中的乱麻
飛び込め激動のnext stage	就投身下一个激荡的舞台吧
敗北と挫折の末に	在历经败北和挫折之后
板に付いた逃げ膜に辟易	开始习惯性得想要逃避
流れ流され 行き着いた今	就这样随波逐流 辗转抵达了如今
迎え撃て drive me	主动迎击 驱我向前
想定外のトラブルも brave me	不期而至的麻烦 促我勇敢
のるかそるか 御覧あれ 	成败在此一举 敬请观赏
bursty greedy spider 虹彩放て	贪婪烈蛛 大放异彩
手加減は無い big new wave	宛如毫不留情的巨浪
ここからが本番さ	接下来好戏才要上场
さあ 電光石火で光目指せ	来吧 以电光火石之势向着光前进吧
二度とは来ない今日の日だ	这是绝不再来的今天
居場所生存を賭けた突破口	将赌上了性命的突破口
手繰り寄せて	拉进身前
此処じゃ 楽しむのがルールよ	在这里 享乐是唯一的规则
嗚呼 足りないよ 刺激をもっと頂戴	啊 还不够啊 麻烦请给我更多的刺激
波乱の数だけ 強くなれたの	波澜风雨 才能让我成长得更为强大
いくよ最強 御免あそばせ	出发吧最强如我 还请多多见谅
bursty greedy spider 風を切って跳べ	贪婪烈蛛 一跃如风
予測不能の big new wave	宛如无法预测的巨浪
運命は自分次第	命运由自己主宰
今 最高出力で未来照らせ	就是现在 全力以赴的照亮未来吧
一度しかない人生さ	这是仅此一次的人生
真っ直ぐに走り続けよう	笔直地一路奔跑下去
心に絡まった糸が解けたら	待解开了心中的乱麻
飛び込め激動のnext stage	就投身下一个激荡的舞台吧
響くサイレン	拉响警报
響くサイレン	拉响警报
目を覚ます生存本能	觉醒的生存本能
行き当たってパタっても 止まれやしない	哪怕碰壁哪怕无路可走 也绝不止步
ときに偶然は 運命装う	有时偶然会伪装成命运
善悪 交差するジオラマの街で	在这善恶交错的虚构城市中
迷宮じゃ悪夢も日常茶飯事	迷宫之中 噩梦也已司空见惯
普遍性などクソ食らえですね	普遍性什么的见鬼去吧
使い古された正攻法	正攻法早已用烂
そんなに人生 上手く出来てませんので	毕竟这段人生 算不上多么成功
立ち向かえ drive me	奋勇而起 驱我向前
この手で切り拓く brave me	无路自开 促我勇敢
最強 御免あそばせ	最强如我 还请多多见谅
bursty greedy spider 風を切って跳べ	贪婪列蛛 一跃如风
予測不能の big new wave	宛如无法预测的巨浪
まだまだ終われない	还将继续呼啸
今 最高速度で闇を駆けろ	就是现在 在黑暗中全力疾驰吧
一度しかない人生さ	这是仅此一次的人生
真っ直ぐに走り続けて	笔直地一路跑去
心に絡まった糸が解けたら	待解开了心中的乱麻
飛び込め激動のnext stage	就投身下一个激荡的舞台吧
皆お金の事	大家都只知道钱
でもお金は必要	但是钱是很必要
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
皆お金の事	大家都只知道钱
でもお金は必要	但是钱是很必要
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
皆お金の事	大家都只知道钱
でもお金は必要	但是钱是很必要
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
お金じゃないアート	不为钱为art
ゴキゲンな蝶になって きらめく風に乗って	变做开心的蝴蝶 乘坐在闪耀的风上
今すぐ キミに会いに行こう	现在马上 要走去与你会面
余計な事なんて 忘れた方がマシさ	什么多余的事 还是忘了最好
これ以上 シャレてる時間はない	这些完了 再没有时间去嬉戏
何が wow wow この空に届くのだろう	有什么 wow wow 会到达这天空吧
だけど wow wow 明日の予定もわからない	但是 wow wow 明日的预定也不会知道
無限大な夢のあとの 何もない世の中じゃ	在无限大的梦想后面 这什么也没有的世界
そうさ愛しい 想いも負けそうになるけど	亲爱的 即使我对你的思念比不上你
stayしがちなイメージだらけの 頼りない翼でも	就算有一双满身停留影像的 不可靠翅膀
きっと飛べるさ oh my love	也一定能高飞的 on my love
ゴキゲンな蝶になって きらめく風に乗って	变做快乐的蝴蝶 乘坐在专心的风上
今すぐ キミに会いに行こう	现在马上 要走去与你会面
余計な事なんて 忘れた方がマシさ	什么多余的事 还是忘了最好
これ以上 シャレてる時間はない	这些完了 再没有时间去嬉戏
何が wow wow この空に届くのだろう	有什么 wow wow 会到达这天空吧
だけど wow wow 明日の予定もわからない	但是 wow wow 明日的预定也不会知道
無限大な夢のあとの 何もない世の中じゃ	在无限大的梦想后面 这什么也没有的世界
そうさ愛しい 想いも負けそうになるけど	亲爱的 即使我对你的思念比不上你
stayしがちなイメージだらけの 頼りない翼でも	就算有一双满身停留影像的 不可靠翅膀
きっと飛べるさ oh my love	也一定能高飞的 on my love
ウカレタ蝶になって 一途な風に乗って	变做快乐的蝴蝶 乘坐在专心的风上
どこまでもキミに会いに行こう	直至哪里也 要走去与你会面
曖昧な言葉って 意外に便利だって	暧昧的言词 出乎意料地方便
叫んでるヒットソング聞きながら	我喊出来 一边听流行曲
何が wow wow この街に響くのだろう	有什么 wow wow 会在这城市回响吧
だけど wow wow 期待してても仕方ない	但是 wow wow 就算期待也不会有用
無限大な夢のあとの やるせない世の中じゃ	在无限大的梦想后面 这不开心的世界
そうさ常識 はずれも悪くはないかな	那些常识 即使不用也不会太差的
stayしそうなイメージを染めた ぎこちない翼でも	就算有一双染有停留影像的 不灵活翅膀
きっと飛べるさ oh my love	也一定能高飞的 on my love
無限大な夢のあとの 何もない世の中じゃ	在无限大的梦想后面 这什么也没有的世界
そうさ愛しい 想いも負けそうになるけど	亲爱的 即使我对你的思念比不上你
stayしがちなイメージだらけの 頼りない翼でも	就算有一双满身停留影像的 不可靠翅膀
きっと飛べるさ oh yeah	也一定能高飞的 oh yeah
無限大な夢のあとの やるせない世の中じゃ	在无限大的梦想后面 这不开心的世界
そうさ常識 はずれも悪くはないかな	那些常识 即使不用也不会太差的
stayしそうなイメージを染めた ぎこちない翼でも	就算有一双染有停留影像的 不灵活翅膀
きっと飛べるさ oh my love	也一定能高飞的 on my love
ゴキゲンな蝶になって	好想化做一只蝴蝶
きらめく風に乗って	乘着微风振翅高飞
今すぐ	现在马上
キミに会いに行こう	只想赶快和你见面
余計な事なんて	烦心的事放在一边
忘れた方がマシさ	如果忘记那也无所谓
これ以上	已经没有
シャレてる時間はない	多余时间可以浪费
何が wow wow woow	有什么 喔喔喔
この空に届くのだろう	什么事会在这片晴空下出现
だけど wow wow woow	但是 喔喔喔
明日の予定もわからない	不知道明天会发生什么
無限大な夢のあとの	在无限延伸的梦想后面
何もない世の中じゃ	这样虚无的世界
そうさ愛しい	那样才可爱
想いも負けそうになるけど	想法好像也有行不通的
stayしがちなイ メージだらけの	一直停留在印象中的
頼りない翼でも	即使是不可靠的翅膀
きっと飛べるさ	也一定会展翅飞翔
ゴキゲンな蝶になって 	好想化做一只蝴蝶
無限大な夢のあとの 	在无限延伸的梦想后面
きらめく風に乗って 	乘著微风振翅高飞
今すぐ 	现在马上
キミに会いに行こう 	只想赶快和你见面
余計な事なんて 	那些多余的事情
忘れた方がマシさ 	如果忘记那也无所谓
これ以上 	已经没有
シャレてる時間はない 	多余时间可以浪费
何が 	似乎有
この空に届くのだろう 	什麼事会在这片晴空下出现
だけど 	就算是
明日の予定もわからない 	连明天的预定都还不知道
 无限大な梦のあとの	无限大的梦想之后是
何もない世の中じゃ 	这什么也没有的世界
そうさ愛しい 	是啊是如此的可怜
想いも負けそうになるけど 	连思念也仿佛要被击垮一样但是
しがちなイ メージだらけの 	是这双总是给人停滞不前印象的
頼りない翼でも 	不可靠的翅膀
きっと飛べるさ 	也一定能飞跃过去的
stayしがちなイメージだらけの	相信爱永远不会止息
頼りない翼でも	即使偶尔会遇上难题
きっと飛べるさ	一定能化险为夷
ゴキゲンな蝶になって	好想化做一只蝴蝶
きらめく風に乗って	乘著微风振翅高飞
今すぐキミに会いに行こう	现在马上 只想赶快和你见面
余計な事なんて	烦心的事放在一边
忘れた方がマシさ	如果忘记那也无所谓
これ以上シャレてる時間はない	已经没有 多余时间可以浪费
何がwow wow	似乎有 wow wow
この空に届くのだろう	什麼事会在这片晴空下出现
だけどwow wow	就算是 wow wow
明日の予定もわからない	面对未知的明天勇敢去冒险
無限大な夢のあとの	在无限延伸的梦想后面
何もない世の中じゃ	穿越冷酷无情的世界
そうさ愛しい	不想要输给自己
想いも負けそうになるけど	有你的美丽记忆会让我更努力
stayしがちなイメージだらけの	相信爱永远不会止息
頼りない翼でも	即使偶尔会遇上难题
きっと飛べるさ	一定能化险为夷
ウカレタ蝶になって	仿佛蝴蝶展开双翼
一途な風に乗って	一路迎着微风飞行
どこまでも	直到我和你
キミに会いに行こう	相见约定不再分离
曖昧な言葉って	对你倾吐我的心意
意外に便利だって	没想到你真的愿意
叫んでる	陪着我一起
ヒットソング聴きながら	沉醉在幸福的旋律
何がwow wow	好像有 wow wow
この街に響くのだろう	什么声音悄悄从这街角响起
だけどwow wow	而现在 wow wow
期待してても仕方ない	不想再空等让憧憬变成泡影
無限大な夢のあとの	在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識はずれも	那些常识
悪くはないかな	即使不用也不会太差
stayしそうなイメージを染めた	即使有一双染有停留影像的
ぎこちない翼でも	不灵活的翅膀
きっと飛べるさ	一定能化险为夷
無限大な夢のあとの	在无限延伸的梦想后面
何もない世の中じゃ	穿越冷酷无情的世界
そうさ愛しい	不想要输给自己
想いも負けそうになるけど	有你的美丽记忆会让我更努力
stayしがちなイメージだらけの	相信爱永远不会止息
頼りない翼でも	即使偶尔会遇上难题
きっと飛べるさ	一定能化险为夷
無限大な夢のあとの	在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識はずれも	那些常识
悪くはないかな	即使不用也不会太差
stayしそうなイメージを染めた	即使有一双染有停留影像的
ぎこちない翼でも	不灵活的翅膀
きっと飛べるさ	一定能化险为夷
stayしがちなイメージだらけの	即使是这双总是给人停滞不前印象的
頼りない翼でも きっと飛べるさ	不可靠的翅膀也一定能飞跃过去的
ゴキゲンな蝶になって きらめく風に乗って	好想化做一只蝴蝶 乘着微风振翅高飞
今すぐ キミに会いに行こう	现在马上 就来与你相见
余計な事なんて 忘れた方がマシさ	烦心的事放在一边 如果忘记那也无所谓
これ以上 シャレてる時間はない	已经没有 多余时间可以浪费
何がwow wow この空に届くのだろう	似乎有wow wow什么事会在这片晴空下出现
だけどwow wow 明日の予定もわからない	就算是wow wow面对未知的明天勇敢去冒险
無限大な夢のあとの 何もない世の中じゃ	无限大的梦想之后是这什么也没有的世界
そうさ愛しい 想いも負けそうになるけど	是啊 如此的可怜 连思念也仿佛要被击垮一样但是
stayしがちなイメージだらけの	即使是这双总是给人停滞不前印象的
頼りない翼でも きっと飛べるさ	不可靠的翅膀也一定能飞跃过去的
ウカレタ蝶になって 一途な風に乗って	仿佛蝴蝶展开双翼 一路迎着微风飞行
どこまでも キミに会いに行こう	无论在哪儿也要与你相会
曖昧な言葉って 意外に便利だって	暧昧的言词之类还真是意外地便利呢
叫んでる ヒットソング聴きながら	喊出来吧 在一边听着流行的主打歌的时候
何がwow wow この街に響くのだろう	好像有wow wow什么声音悄悄从这街角响起
だけどwow wow 期待してても仕方ない	但是wow wow再空等也只会是憧憬变成泡影
無限大な夢のあとの やるせない世の中じゃ	面对无限大的梦想之后的如此令人沮丧的世界
そうさ常識 はずれも悪くはないかな	是啊 这就是常识 从中脱离其实也并不坏吧
stayしそうなイメージを染めた	就算这双染上优柔不断的
ぎこちない翼でも きっと飛べるさ	还显生硬的翅膀也一定能展翅高飞
無限大な夢のあとの 何もない世の中じゃ	无限大的梦想之后是这什么也没有的世界
そうさ愛しい 想いも負けそうになるけど	是啊 如此的可怜 连思念也仿佛要被击垮一样但是
stayしがちなイメージだらけの	即使是这双总是给人停滞不前印象的
頼りない翼でも きっと飛べるさ	不可靠的翅膀也一定能飞跃过去的
無限大な夢のあとの やるせない世の中じゃ	面对无限大的梦想之后的如此令人沮丧的世界
そうさ常識 はずれも悪くはないかな	是啊 这就是常识 从中脱离其实也并不坏吧
stayしそうなイメージを染めた	就算这双染上优柔不断的
ぎこちない翼でも きっと飛べるさ	还显生硬的翅膀也一定能展翅高飞
無限大な夢のあとの 何もない世の中じゃ	在无限大的梦想后面 穿越这冷酷无情的世界 
そうさ愛しい 想いも負けそうになるけど	是啊 尽管有这爱的思念好像也会败北 
stayしがちなイメージだらけの 頼りない翼でも	只要能够忍耐一切苦痛即使是这看似毫无依靠的翅膀 
きっと飛べるさ oh yeah	也一定能够展翅高飞 oh yeah
無限大な夢のあとの やるせない世の中じゃ	在无限大的梦想后面 穿越这冷酷无情的世界 
そうさ常識 はずれも悪くはないかな	是啊 即使违背常识也没什么大不了的 
stayしそうなイメージを染めた ぎこちない翼でも	只要拥有一个能够坚忍的心即使这翅膀是那么的不灵巧 
きっと飛べるさ on my love	也一定能够展翅高飞 on my love
ゴキゲンな蝶になって 	变做开心的蝴蝶
きらめく風に乗って 	乘坐在闪耀的风上
今すぐ 	现在马上
キミに会いに行こう 	要走去与你会面
余計な事なんて 	什么多余的事
忘れた方がマシさ 	还是忘了最好
これ以上	以上 这些完了
シャレてる時間はない	再没有时间去嬉戏
何が 	有什么
この空に届くのだろう 	会到达这天空吧
明日の予定もわからない 	明日的预定也不会知道
無限大な夢のあとの 	在无限大的梦想后面
何もない世の中じゃ 	这什么也没有的世界
そうさ愛しい 	亲爱的
想いも負けそうになるけど 	即使我对你的思念比不上你
stayしがちなイメージだらけの	就算有一双满身停留影像的
頼りない翼でも 	不可靠翅膀
きっと飛べるさ 	也一定能高飞的
ウカレタ蝶になって 	变做快乐的蝴蝶
一途な風に乗って 	乘坐在专心的风上
どこまでも	直至哪里也
キミに会いに行こう 	要走去与你会面
曖昧な言葉って 	暧昧的言词
意外に便利だって 	出乎意料地方便
叫んでる 	我喊出来
ヒットソング聴きながら 	一边听流行曲
何が 	有什么
この街に響くのだろう 	会在这城市回响吧
期待してても仕方ない 	就算期待也不会有用
無限大な夢のあとの 	在无限大的梦想后面
やるせない世の中じゃ 	这不开心的世界
そうさ常識	常识 那些常识
はずれも悪くないかな 	即使不用也不会太差的
stayしそうなイメージを染めた	 就算有一双染有停留影像的
ぎこちない翼でも 	不灵活翅膀
きっと飛べるさ 	也一定能高飞的
無限大な夢のあとの 	在无限大的梦想后面
何もない世の中じゃ 	这什么也没有的世界
そうさ愛しい 	亲爱的
想いも負けそうになるけど 	即使我对你的思念比不上你
stayしがちなイメージだらけの	就算有一双染有停留影像的
頼りない翼でも 	不灵活翅膀
きっと飛べるさ 	也一定能高飞的
無限大な夢のあとの 	在无限大的梦想后面
やるせない世の中じゃ 	这不开心的世界
そうさ常識	常识 那些常识
はずれも悪くないかな 	即使不用也不会太差的
stayしそうなイメージを染めた	就算有一双染有停留影像的
ぎこちない翼でも 	不灵活翅膀
きっと飛べるさ 	也一定能高飞的
ゴキゲンな蝶になって	好想化做一只蝴蝶
きらめく風に乗って	乘着微风振翅高飞
今すぐ	现在马上
キミに会いに行こう	只想赶快和你见面
余計な事なんて	烦心的事放在一边
忘れた方がマシさ	如果忘记那也无所谓
これ以上	已经没有
シャレてる時間はない	多余时间可以浪费
この空に届くのだろう	什么事会在这片晴空下出现
明日の予定もわからない	不知道明天会发生什么
無限大な夢のあとの	在无限延伸的梦想后面 
何もない世の中じゃ	这样虚无的世界
そうさ愛しい	那样才可爱
想いも負けそうになるけど	想法好像也有行不通的
stayしがちなイメージだらけの	一直停留在印象中的
頼りない翼でも	即使是不可靠的翅膀
きっと飛べるさ	也一定会展翅飞翔
ウカレタ蝶になって	仿佛蝴蝶展开双翼
一途な風に乗って	一路迎着微风飞行
どこまでも	无论什么地方
キミに会いに行こう	都会去和你相见
曖昧な言葉って	对你倾吐我的心意
意外に便利だって	没想到你真的愿意
叫んでる	叫喊着
ヒットソング聴きながら	沉醉在幸福的旋律
この街に響くのだろう	什么声音悄悄从这街角响起
期待してても仕方ない	即使期待也是很无奈
無限大な夢のあとの	在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識	那是常识
はずれも悪くはないかな	即使错了也没什么
stayしそうなイメージを染めた	相信希望有天会实现
ぎこちない翼でも	即使是沉重的翅膀
きっと飛べるさ	也一定会展翅飞翔
無限大な夢のあとの	在无限延伸的梦想后面
何もない世の中じゃ	纵然世界再虚假多变
そうさ愛しい	那样才可爱
想いも負けそうになるけど	想法好像也有行不通的
stayしがちなイメージだらけの	一直停留在印象中的
頼りない翼でも	即使是不可靠的翅膀
きっと飛べるさ	也一定会展翅飞翔
無限大な夢のあとの	在无限延伸的梦想后面
やるせない世の中じゃ	纵然世界再虚假多变
そうさ常識	那是常识
